maritime_area ;registration_number ;imo_number ;ship_name                                             ;callsign ;mmsi      ;shiptype             ;length ;tonnage  ;tonnage_unit ;materiel_onboard                                                                                                                                                                                                                                                                        ;atis_code     ;radio_license_status ;date_first_license ;date_inactivity_license
AJ            ;314079R             ;           ;MARIA GRAZIA                                          ;FI9351   ;          ;FISHING              ;8      ;7        ;TX           ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;22/05/1989         ;06/06/1997
BI            ;325203G             ;           ;SAN PEDRU                                             ;FS3758   ;          ;BULK                 ;       ;30       ;TX           ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/07/1981         ;13/01/2010
SN            ;635109L             ;           ;ZIG ZAG III                                           ;FU7501   ;          ;PLEASURE CRAFT       ;8      ;9        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;09/07/1987         ;10/06/2004
AC            ;615937X             ;           ;CHRISTALAIN                                           ;FT7258   ;          ;PLEASURE CRAFT       ;8      ;10       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;30/04/1984         ;17/12/1998
TL            ;586772W             ;           ;L'ALBATROS                                            ;FT8036   ;          ;PLEASURE CRAFT       ;6      ;3        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;27/04/1984         ;06/03/2001
NI            ;346938G             ;           ;BOULINIER                                             ;FIYE     ;          ;PLEASURE CRAFT       ;19     ;54       ;UMS          ;VHF - BLU                                                                                                                                                                                                                                                                               ;              ;INACTIVE             ;13/07/1984         ;12/12/1994
SN            ;686560L             ;           ;PAPI PAUL                                             ;FVFG     ;228364000 ;FISHING              ;18.5   ;58       ;TX           ;VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RECEPTEUR NAVTEX                                                                                                                                                                       ;              ;ACTIVE               ;07/04/1988         ;
GV            ;642071D             ;           ;ORCA 2                                                ;FT7873   ;          ;PLEASURE CRAFT       ;       ;6        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;20/05/1983         ;
SB            ;333182E             ;           ;YANN CEDRIC                                           ;FS7499   ;227598760 ;FISHING              ;12     ;18       ;TX           ;VHF ASN - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                                               ;              ;INACTIVE             ;01/08/1982         ;03/06/2010
PL            ;267832X             ;           ;LE TOULOULOU                                          ;FP9579   ;227751380 ;FISHING              ;9.24   ;7.97     ;TX           ;VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                         ;              ;ACTIVE               ;01/01/1981         ;
MN            ;239017B             ;           ;CREDO DU MARIN                                        ;FO3441   ;          ;FISHING              ;       ;8        ;TX           ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/11/1976         ;22/02/2001
MA            ;531890S             ;           ;KEY WEST                                              ;FG7493   ;          ;PLEASURE CRAFT       ;       ;6        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;10/08/1989         ;01/08/1991
ST            ;624027R             ;           ;CAP BLANC                                             ;FT7071   ;          ;PLEASURE CRAFT       ;8      ;9        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;29/03/1984         ;
AC            ;361198G             ;           ;L ENCLUME 2                                           ;FI3670   ;227028740 ;PLEASURE CRAFT       ;8      ;9        ;UMS          ;VHF ASN                                                                                                                                                                                                                                                                                 ;              ;ACTIVE               ;10/05/1988         ;
BX            ;273568G             ;           ;CHRISTOPHE CORRINE                                    ;FT2630   ;          ;FISHING              ;11     ;14       ;TX           ;RADAR 9 PAN (BANDE X)                                                                                                                                                                                                                                                                   ;              ;INACTIVE             ;27/01/1983         ;16/09/1999
NI            ;745211M             ;           ;ALTAIR                                                ;FV8333   ;          ;PLEASURE CRAFT       ;8      ;5        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;22/07/1991         ;13/11/2012
PV            ;561758G             ;           ;A.JE.DAVID 2                                          ;FS7759   ;227323310 ;FISHING              ;11.71  ;12.93    ;TX           ;VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                         ;              ;ACTIVE               ;01/07/1982         ;
NA            ;530774D             ;           ;ARGO NAVIS                                            ;FT7432   ;          ;PLEASURE CRAFT       ;       ;9        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;03/04/1984         ;12/11/1994
MA            ;499193B             ;           ;VRIDI III                                             ;FH3848   ;          ;PLEASURE CRAFT       ;7      ;7        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;26/04/1985         ;
VA            ;510329F             ;           ;CAUGEK 2                                              ;FT7429   ;          ;PLEASURE CRAFT       ;       ;6        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;30/03/1984         ;08/01/2002
SM            ;370479V             ;           ;TY SWANN                                              ;FT8130   ;227351520 ;PLEASURE CRAFT       ;8.95   ;         ;UMS          ;VHF ASN - VHF PORTATIVE - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                                                         ;              ;ACTIVE               ;18/07/1984         ;
CC            ;545406H             ;           ;STERNE                                                ;FU9313   ;227681970 ;BULK                 ;9      ;7        ;UMS          ;VHF ASN                                                                                                                                                                                                                                                                                 ;              ;ACTIVE               ;08/03/1988         ;
LI            ;LI9993H             ;           ;HETTY                                                 ;FM5970   ;          ;RIVER SHIP           ;       ;368      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 5970 ;INACTIVE             ;17/04/1984         ;03/07/1992
LI            ;LI7683              ;           ;LYDIA                                                 ;FM3487   ;          ;RIVER SHIP           ;       ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 3487 ;INACTIVE             ;15/12/1988         ;27/09/1991
SM            ;236048Z             ;           ;CALYPSO 2                                             ;FS4738   ;227567360 ;PLEASURE CRAFT       ;10     ;9        ;UMS          ;VHF ASN                                                                                                                                                                                                                                                                                 ;              ;INACTIVE             ;01/09/1981         ;20/01/2014
ST            ;440376V             ;           ;SELANDRE                                              ;FO7093   ;227332600 ;PLEASURE CRAFT       ;       ;14       ;UMS          ;VHF - BALISE COSPAS S.  EPIRB                                                                                                                                                                                                                                                           ;              ;INACTIVE             ;01/07/1981         ;29/10/2004
GV            ;449858B             ;           ;MARIE STELLA                                          ;FP6474   ;227729620 ;FISHING              ;12.77  ;21       ;TX           ;VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X) - DIVERS                                                                                                                                                                                                ;              ;ACTIVE               ;01/10/1979         ;
PV            ;541689T             ;           ;PHANOU II                                             ;FV4237   ;          ;FISHING              ;       ;1        ;TX           ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;13/01/1988         ;26/06/1992
PA            ;PA14803             ;           ;ENOLA GAY                                             ;FM6105   ;          ;RIVER SHIP           ;50     ;390      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 6105 ;INACTIVE             ;06/12/1984         ;03/12/2004
NI            ;621789H             ;           ;REDER MOR                                             ;FH3742   ;          ;PLEASURE CRAFT       ;8      ;7        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;27/02/1985         ;11/04/2003
TL            ;298831S             ;           ;SALOME                                                ;FO4194   ;227204040 ;PLEASURE CRAFT       ;14.5   ;16.19    ;UMS          ;VHF ASN - AIS                                                                                                                                                                                                                                                                           ;              ;ACTIVE               ;11/04/1988         ;
SB            ;327907W             ;           ;IDEE FIXE                                             ;FI3177   ;227286190 ;PLEASURE CRAFT       ;6.8    ;         ;TX           ;VHF ASN                                                                                                                                                                                                                                                                                 ;              ;ACTIVE               ;17/12/1988         ;
CH            ;711291T             ;           ;LE POULPE II                                          ;FV4188   ;          ;PLEASURE CRAFT       ;5.1    ;1        ;UMS          ;VHF PORTATIVE                                                                                                                                                                                                                                                                           ;              ;ACTIVE               ;25/03/1988         ;
BR            ;168685D             ;           ;EXOCET                                                ;FL3828   ;          ;PLEASURE CRAFT       ;       ;10       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/09/1971         ;06/04/2001
SM            ;640853E             ;           ;QUENELDA                                              ;FH8925   ;          ;PLEASURE CRAFT       ;14     ;26       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;05/05/1986         ;25/07/2002
TL            ;603490T             ;           ;INGRID                                                ;FS9568   ;227677130 ;PLEASURE CRAFT       ;11     ;15       ;UMS          ;VHF - VHF ASN - VHF PORTATIVE                                                                                                                                                                                                                                                           ;              ;ACTIVE               ;01/08/1982         ;
PV            ;712275M             ;           ;JEAN LOUIS 3                                          ;FU7266   ;          ;FISHING              ;11     ;15       ;TX           ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;20/07/1987         ;20/02/1996
MT            ;733921R             ;           ;NOSY TANIKELY                                         ;FG7884   ;          ;PLEASURE CRAFT       ;8      ;7        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;21/11/1989         ;
BL            ;644577C             ;           ;EMILIE                                                ;FH9752   ;          ;PLEASURE CRAFT       ;       ;6        ;UMS          ;VHF - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                                                                             ;              ;INACTIVE             ;10/05/1986         ;18/10/2013
LS            ;715687W             ;           ;ERINA 4                                               ;FI9902   ;          ;PLEASURE CRAFT       ;       ;8        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;25/04/1989         ;
##            ;P015096F            ;           ;EDITH PIAF                                            ;FM6096   ;226009990 ;RIVER SHIP           ;35     ;180      ;UMS          ;VHF - AIS                                                                                                                                                                                                                                                                               ;9 227 13 6096 ;ACTIVE               ;20/11/1984         ;
MA            ;308415J             ;           ;NARVAL                                                ;FS2012   ;227592320 ;BULK                 ;14.8   ;16.48    ;TX           ;VHF - VHF ASN - VHF PORTATIVE                                                                                                                                                                                                                                                           ;              ;ACTIVE               ;01/10/1980         ;
SN            ;486439N             ;           ;EGLANTINE                                             ;FT7204   ;          ;PLEASURE CRAFT       ;6      ;5        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;20/04/1984         ;05/07/1997
PA            ;9923                ;           ;AREBIL                                                ;FM3394   ;          ;RIVER SHIP           ;       ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 3394 ;INACTIVE             ;26/08/1980         ;23/11/1998
##            ;LI009773F           ;           ;LIBERA                                                ;FM5522   ;226012410 ;RIVER SHIP           ;39     ;390      ;UMS          ;VHF - AIS                                                                                                                                                                                                                                                                               ;9 227 13 5522 ;ACTIVE               ;01/01/1979         ;
##            ;PA12761F            ;1821639    ;FLET                                                  ;FM5516   ;          ;RIVER SHIP           ;38.73  ;404      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 5516 ;INACTIVE             ;01/05/1982         ;24/01/2013
##            ;PA13830F            ;1821426    ;LA FUREUR DE VIVRE                                    ;FM5524   ;226000530 ;RIVER SHIP           ;38.42  ;378      ;TX           ;VHF - AIS                                                                                                                                                                                                                                                                               ;9 227 13 5524 ;INACTIVE             ;01/06/1980         ;22/10/2015
SN            ;607458F             ;           ;CHANT DES SIRENES                                     ;FLOC     ;228800000 ;FISHING              ;13     ;23       ;UMS          ;VHF - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                                                      ;              ;INACTIVE             ;27/01/1984         ;01/03/1998
TL            ;451375A             ;           ;HOPALE                                                ;FP3109   ;227295680 ;PLEASURE CRAFT       ;14     ;20       ;UMS          ;VHF ASN - BALISE COSPAS S.  EPIRB                                                                                                                                                                                                                                                       ;              ;ACTIVE               ;01/05/1978         ;
PA            ;PA13476             ;           ;JOSEPH                                                ;FM5329   ;          ;RIVER SHIP           ;       ;381      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 5329 ;INACTIVE             ;01/01/1979         ;05/12/1991
##            ;EX13110F            ;           ;KAYAK                                                 ;FM5548   ;          ;RIVER SHIP           ;38     ;385      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 5548 ;ACTIVE               ;01/01/1979         ;
PA            ;PA13530             ;           ;RUDEL                                                 ;FM5549   ;          ;RIVER SHIP           ;       ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 5549 ;INACTIVE             ;01/01/1979         ;02/04/1990
LH            ;387337U             ;           ;PICROCHOLE                                            ;FHXL     ;227329300 ;PLEASURE CRAFT       ;10     ;12       ;UMS          ;VHF ASN - AIS - BALISE COSPAS S.  EPIRB - BLU - SATELLITE MINI C - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                ;              ;ACTIVE               ;08/04/1988         ;
PA            ;PA12926             ;           ;ODEON                                                 ;FM5552   ;          ;RIVER SHIP           ;       ;387      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 5552 ;INACTIVE             ;01/03/1979         ;22/11/1996
NI            ;748203P             ;           ;STELLA MATUTINA                                       ;FI9399   ;          ;PLEASURE CRAFT       ;10     ;12       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;20/01/1989         ;05/04/1995
DP            ;449892N             ;           ;FEE DES MERS                                          ;FP6859   ;227561790 ;FISHING              ;9.8    ;9.89     ;TX           ;VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                         ;              ;INACTIVE             ;20/02/1985         ;28/11/2012
NY            ;NY3043              ;           ;ROSARIO 2                                             ;FM5527   ;          ;RIVER SHIP           ;       ;322      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 5527 ;INACTIVE             ;01/03/1979         ;31/12/1998
##            ;P014213F            ;1820632    ;QUO VADIS                                             ;FM5520   ;226003250 ;RIVER SHIP           ;38     ;374      ;UMS          ;VHF - VHF ASN - AIS                                                                                                                                                                                                                                                                     ;9 227 13 5520 ;ACTIVE               ;01/05/1979         ;
GV            ;565040Z             ;           ;KREISKER                                              ;FH3143   ;          ;FISHING              ;7      ;3        ;UMS          ;VHF PORTATIVE                                                                                                                                                                                                                                                                           ;              ;INACTIVE             ;18/04/1985         ;11/03/2003
TL            ;418319V             ;           ;CITRON VERT                                           ;FT8934   ;          ;PLEASURE CRAFT       ;       ;6        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;28/06/1984         ;10/06/1992
PA            ;PA11402             ;           ;PLAT DU JOUR                                          ;FM5553   ;          ;RIVER SHIP           ;       ;335      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 5553 ;INACTIVE             ;01/01/1980         ;31/12/1991
BR            ;442539W             ;           ;AR LAKEZ                                              ;FT9362   ;          ;PLEASURE CRAFT       ;       ;3        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;26/06/1984         ;30/10/2015
CC            ;407039J             ;           ;REDA                                                  ;FPHM     ;227925000 ;FISHING              ;15     ;29       ;UMS          ;BLU - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                                                                             ;              ;INACTIVE             ;03/01/1979         ;31/12/1996
NI            ;449041N             ;           ;MOANA 4                                               ;FP4267   ;          ;PLEASURE CRAFT       ;7      ;6        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/02/1979         ;16/01/2002
YE            ;424612K             ;           ;LE MIRADOR                                            ;FPHO     ;227901000 ;FISHING              ;18.29  ;49.48    ;TX           ;VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD)                                                                                                                                           ;              ;ACTIVE               ;24/06/1988         ;
LY            ;LY1327327J          ;           ;MACARENA                                              ;FM4797   ;          ;RIVER SHIP           ;60     ;835      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 4797 ;INACTIVE             ;01/09/1981         ;31/03/2010
##            ;P012122F            ;1820823    ;COTRE                                                 ;FM5569   ;226001720 ;RIVER SHIP           ;38.77  ;368      ;UMS          ;VHF - VHF ASN - AIS                                                                                                                                                                                                                                                                     ;9 227 13 5569 ;INACTIVE             ;01/01/1979         ;28/11/2016
NI            ;346660E             ;           ;AMNESTY                                               ;FP4204   ;227518480 ;PLEASURE CRAFT       ;       ;8        ;UMS          ;VHF ASN - BALISE COSPAS S.  EPIRB                                                                                                                                                                                                                                                       ;              ;ACTIVE               ;01/06/1980         ;
NY            ;NY3055              ;           ;V A                                                   ;FM5454   ;          ;RIVER SHIP           ;       ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 5454 ;INACTIVE             ;01/01/1979         ;31/12/1990
MX            ;626052S             ;           ;CALINE                                                ;FH2008   ;          ;PLEASURE CRAFT       ;9      ;11       ;UMS          ;VHF - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                                                                             ;              ;INACTIVE             ;03/08/1984         ;11/05/2007
LS            ;193480E             ;           ;DAISY                                                 ;FP6065   ;          ;PLEASURE CRAFT       ;6      ;3        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/06/1979         ;04/11/1994
LS            ;421699U             ;           ;KIRA                                                  ;FP6066   ;          ;PLEASURE CRAFT       ;8      ;8        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;06/03/1982         ;31/12/1999
LR            ;316896C             ;           ;CHRIS MARY 2                                          ;FP6102   ;          ;PLEASURE CRAFT       ;       ;7        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/06/1980         ;31/12/1998
NI            ;465674T             ;           ;FARANDOLE                                             ;FP6106   ;          ;PLEASURE CRAFT       ;12     ;19       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/06/1979         ;28/02/1993
MA            ;596720J             ;           ;SIRIUS II                                             ;FT4840   ;227648060 ;BULK                 ;11     ;12       ;TX           ;VHF ASN                                                                                                                                                                                                                                                                                 ;              ;ACTIVE               ;01/07/1983         ;
NI            ;457214X             ;           ;CHARLY III                                            ;FP6139   ;          ;PLEASURE CRAFT       ;10     ;16       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;26/10/1979         ;
SN            ;388875R             ;           ;ATALANTE                                              ;FP6177   ;          ;PLEASURE CRAFT       ;       ;8        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/08/1979         ;31/12/1999
AY            ;427433B             ;           ;ROSEMOR                                               ;FT2137   ;          ;PLEASURE CRAFT       ;13     ;22       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;03/05/1983         ;
TL            ;485527X             ;           ;BEIJA FLOR                                            ;FP6203   ;          ;PLEASURE CRAFT       ;13     ;22       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/08/1979         ;27/10/2016
RO            ;433684W             ;           ;JUNON 2                                               ;FP6204   ;          ;PLEASURE CRAFT       ;       ;8        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/08/1979         ;22/04/2000
TL            ;628792V             ;           ;EMMAX                                                 ;FT6737   ;227271980 ;PLEASURE CRAFT       ;9.8    ;10.21    ;UMS          ;VHF ASN                                                                                                                                                                                                                                                                                 ;              ;ACTIVE               ;20/02/1986         ;
NA            ;367968R             ;           ;IN GALL                                               ;FO8459   ;          ;PLEASURE CRAFT       ;10     ;12       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/02/1977         ;11/04/2003
BI            ;480526L             ;           ;PILOTINE G                                            ;FP6218   ;227116120 ;BULK                 ;11.99  ;12.49    ;TX           ;VHF ASN                                                                                                                                                                                                                                                                                 ;              ;INACTIVE             ;25/10/1979         ;03/02/2014
NI            ;710374W             ;           ;MOOREA                                                ;FG2048   ;          ;PLEASURE CRAFT       ;9      ;11       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;17/03/1989         ;
AJ            ;308126V             ;           ;FRANCOIS MARIE                                        ;FP6219   ;227288540 ;FISHING              ;11.69  ;12.29    ;TX           ;VHF - VHF ASN - BALISE COSPAS S.  EPIRB                                                                                                                                                                                                                                                 ;              ;ACTIVE               ;01/02/1979         ;
TL            ;507365J             ;           ;GAEL 2                                                ;FH8657   ;          ;PLEASURE CRAFT       ;12     ;11       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;11/04/1986         ;01/01/2000
