maritime_area ;registration_number ;imo_number ;ship_name                                             ;callsign ;mmsi      ;shiptype             ;length ;tonnage  ;tonnage_unit ;materiel_onboard                                                                                                                                                                                                                                                                        ;atis_code     ;radio_license_status ;date_first_license ;date_inactivity_license
MN            ;290355D             ;           ;MOBBY DICK                                            ;FS4586   ;227603590 ;FISHING              ;10     ;5        ;TX           ;VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                         ;              ;INACTIVE             ;27/01/1983         ;17/12/2009
BA            ;348820C             ;           ;CHRISTIALYS                                           ;FO4706   ;          ;PLEASURE CRAFT       ;8      ;6        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/07/1976         ;05/11/2010
MN            ;358586T             ;           ;ANNABELLA                                             ;FP4072   ;227593620 ;FISHING              ;10.45  ;9.62     ;UMS          ;VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB                                                                                                                                                                                                                                 ;              ;ACTIVE               ;01/10/1978         ;
NI            ;620174C             ;           ;LE PARADOU                                            ;FT7746   ;          ;PLEASURE CRAFT       ;8      ;7        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;26/03/1984         ;26/10/2009
LI            ;LI9085F             ;           ;NIGERIA                                               ;FM4338   ;          ;RIVER SHIP           ;       ;250      ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 4338 ;INACTIVE             ;04/07/1987         ;28/03/1994
BR            ;558713X             ;           ;ABALONE 3                                             ;FT6347   ;          ;PLEASURE CRAFT       ;       ;5        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;13/04/1984         ;
BR            ;267492C             ;           ;AVIATEUR MERMOZ                                       ;FT6344   ;          ;PLEASURE CRAFT       ;       ;29       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;10/04/1984         ;
NI            ;620230N             ;           ;SAVOAQUI                                              ;FGA3722  ;          ;PLEASURE CRAFT       ;17     ;32       ;UMS          ;VHF - DIVERS                                                                                                                                                                                                                                                                            ;              ;INACTIVE             ;11/02/1985         ;30/01/2017
GV            ;578819B             ;           ;PESK EBREL                                            ;FT6286   ;          ;PLEASURE CRAFT       ;6.3    ;4.65     ;TX           ;VHF - VHF PORTATIVE                                                                                                                                                                                                                                                                     ;              ;ACTIVE               ;12/04/1984         ;
##            ;P012957F            ;1830624    ;DAJODA III                                            ;FM4650   ;226005250 ;RIVER SHIP           ;38.43  ;387      ;UMS          ;VHF - VHF ASN - AIS                                                                                                                                                                                                                                                                     ;9 227 13 4650 ;ACTIVE               ;01/10/1976         ;
SB            ;534600M             ;           ;MICHEL                                                ;FT7354   ;          ;PLEASURE CRAFT       ;       ;6        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;11/04/1984         ;30/12/1995
ST            ;702688S             ;           ;SCIPION                                               ;FI7411   ;          ;PLEASURE CRAFT       ;6      ;3        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;18/08/1988         ;29/01/2009
NA            ;565509J             ;           ;MIC KEY ANN                                           ;FT7165   ;          ;PLEASURE CRAFT       ;7      ;6        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;02/04/1984         ;12/12/1999
BA            ;512445F             ;           ;TIPIC                                                 ;FW7658   ;          ;PLEASURE CRAFT       ;10     ;20       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;26/02/1988         ;01/09/2000
PA            ;PA13424Q            ;           ;FRAN VAN                                              ;FM6579   ;          ;RIVER SHIP           ;       ;         ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;9 227 13 6579 ;INACTIVE             ;30/03/1988         ;11/05/1990
BX            ;RE07149             ;           ;CORAIL                                                ;FT7816   ;          ;OTHER                ;       ;240      ;TX           ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;25/01/1984         ;11/05/1990
BA            ;747088C             ;           ;GERONIMO                                              ;FI9685   ;227672970 ;PLEASURE CRAFT       ;11     ;14       ;UMS          ;VHF ASN - RADAR 9 PAN (BANDE X)                                                                                                                                                                                                                                                         ;              ;ACTIVE               ;25/04/1989         ;
AC            ;323355Y             ;           ;ALPHA                                                 ;FO4705   ;          ;PLEASURE CRAFT       ;       ;4        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/07/1976         ;09/04/1994
AC            ;570392S             ;           ;ALICE                                                 ;FS7201   ;          ;PLEASURE CRAFT       ;       ;4        ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/05/1982         ;06/09/1992
BX            ;237109C             ;           ;LE CAILLOC                                            ;FO8057   ;          ;PLEASURE CRAFT       ;       ;19       ;UMS          ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/07/1976         ;09/12/1996
LO            ;638618A             ;           ;POPEYE                                                ;FH2723   ;227627620 ;FISHING              ;8.7    ;7.83     ;TX           ;VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB                                                                                                                                                                                                                                 ;              ;ACTIVE               ;13/02/1985         ;
AC            ;322821T             ;           ;LE PUMA                                               ;FO4340   ;          ;FISHING              ;9      ;8        ;TX           ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;01/06/1976         ;16/06/1997
AC            ;371396S             ;           ;LE MOUSSAILLON                                        ;FT6465   ;          ;FISHING              ;10     ;6        ;TX           ;VHF                                                                                                                                                                                                                                                                                     ;              ;INACTIVE             ;30/09/1983         ;15/12/1994
